INITIAL	2685531.5
INITIAL	2661776.33333	1463
build_count_panel	2668124.5	2666085.25	38	1792	skip
cafe_sum_3000_max_price_avg	2666669.08333	2666085.25	38	1759	skip
children_school	2665900.91667	2665900.91667	39	2070	remove
cafe_avg_price_5000	2665706.0	2665706.0	39	2530	remove
school_education_centers_top_20_raion	2667628.5	2665706.0	40	1987	skip
leisure_count_3000	2670914.25	2665706.0	41	1660	skip
cafe_count_3000_na_price	2666652.16667	2665706.0	42	1945	skip
build_count_1946-1970	2662047.08333	2662047.08333	42	2352	remove
cafe_count_5000_na_price	2664474.0	2662047.08333	42	2260	skip
ID_big_road2_le	2666936.25	2662047.08333	43	1849	skip
build_count_before_1920	2663221.08333	2662047.08333	43	2081	skip
cafe_sum_2000_max_price_avg	2663973.0	2662047.08333	44	2000	skip
cafe_count_2000_na_price	2662277.08333	2662047.08333	44	2109	skip
school_education_centers_raion	2660182.58333	2660182.58333	44	2007	remove
cafe_count_1500_price_2500	2664787.66667	2660182.58333	44	1910	skip
market_count_1500	2662812.08333	2660182.58333	44	2013	skip
cafe_count_5000_price_500	2663480.08333	2660182.58333	44	2038	skip
sport_count_1000	2663210.0	2660182.58333	44	1781	skip
trc_count_3000	2665366.58333	2660182.58333	46	1968	skip
church_count_2000	2660416.0	2660182.58333	46	2186	skip
cafe_count_3000_price_4000	2663888.75	2660182.58333	46	2362	skip
cafe_avg_price_2000	2663876.0	2660182.58333	48	1920	skip
cafe_count_1500_price_4000	2666750.66667	2660182.58333	48	1957	skip
build_count_foam	2659853.66667	2659853.66667	51	1974	remove
culture_objects_top_25_raion	2662489.58333	2659853.66667	51	2185	skip
market_count_5000	2659001.91667	2659001.91667	52	2736	remove
cafe_count_1000_na_price	2665518.5	2659001.91667	52	1939	skip
cafe_count_2000_price_4000	2665895.08333	2659001.91667	53	2328	skip
cafe_count_1000_price_1000	2664901.41667	2659001.91667	53	1757	skip
cafe_count_3000_price_1000	2658450.75	2658450.75	53	2066	remove
cafe_count_3000_price_high	2660657.41667	2658450.75	55	2078	skip
cafe_sum_500_max_price_avg	2660058.25	2658450.75	55	2550	skip
cafe_count_3000_price_500	2659514.33333	2658450.75	56	1833	skip
cafe_count_500_price_1000	2659958.83333	2658450.75	57	1848	skip
cafe_count_1000_price_1500	2664490.66667	2658450.75	58	1924	skip
office_count_500	2658623.91667	2658450.75	60	1833	skip
build_count_brick	2663902.5	2658450.75	61	1908	skip
trc_count_5000	2660542.25	2658450.75	61	2385	skip
cafe_sum_5000_max_price_avg	2658198.91667	2658198.91667	63	2030	remove
cafe_count_500_na_price	2664744.58333	2658198.91667	63	1834	skip
cafe_count_2000_price_500	2661108.75	2658198.91667	66	2205	skip
ID_railroad_station_avto	2662883.41667	2658198.91667	66	1800	skip
sport_count_2000	2659324.33333	2658198.91667	66	2017	skip
16_29_all	2661292.5	2658198.91667	66	1779	skip
cafe_count_500	2662946.91667	2658198.91667	67	1966	skip
market_count_3000	2663208.16667	2658198.91667	68	1863	skip
cafe_count_3000_price_2500	2659731.91667	2658198.91667	68	2179	skip
trc_count_2000	2660509.08333	2658198.91667	68	1831	skip
cafe_sum_3000_min_price_avg	2659372.41667	2658198.91667	68	2038	skip
cafe_count_500_price_2500	2657576.75	2657576.75	68	2138	remove
cafe_count_1000_price_high	2658749.25	2657576.75	69	1972	skip
church_count_5000	2658811.08333	2657576.75	69	2085	skip
cafe_sum_1000_max_price_avg	2663214.58333	2657576.75	70	2215	skip
office_sqm_1000	2666357.91667	2657576.75	70	1880	skip
ekder_male	2659398.41667	2657576.75	70	2191	skip
trc_count_1500	2666627.25	2657576.75	70	2365	skip
bulvar_ring_km	2665967.0	2657576.75	71	1897	skip
cafe_count_5000_price_4000	2660538.75	2657576.75	71	2217	skip
trc_sqm_1000	2662199.58333	2657576.75	73	1837	skip
cafe_count_500_price_1500	2657363.41667	2657363.41667	73	2151	remove
green_part_2000	2661934.66667	2657363.41667	74	1781	skip
cafe_count_1500_price_1500	2665893.83333	2657363.41667	75	2142	skip
exhibition_km	2661957.41667	2657363.41667	75	1750	skip
trc_count_1000	2662145.75	2657363.41667	76	2302	skip
office_count_1000	2661397.16667	2657363.41667	76	2273	skip
office_sqm_3000	2660147.41667	2657363.41667	78	2216	skip
sport_count_5000	2665763.16667	2657363.41667	80	1744	skip
sub_area_le	2668467.66667	2657363.41667	82	1817	skip
cafe_count_1500	2658275.66667	2657363.41667	82	1811	skip
green_part_3000	2663320.0	2657363.41667	83	1948	skip
prom_part_2000	2660816.16667	2657363.41667	86	2466	skip
ID_metro_le	2661435.66667	2657363.41667	86	1860	skip
trc_sqm_5000	2661966.41667	2657363.41667	86	1748	skip
